,Name,Date,ClosePriceA,ClosePriceH,ExchangeRate,AdjustedPrice(H),A Growth,H Growth,PriceDiff,PriceDiffRate
267,中兴通讯,2011-02-21,31.42,34.75,0.84,29.189999999999998,10.014,2.0558,2.230000000000004,0.07097390197326556
489,中兴通讯,2012-01-19,15.03,22.05,0.81,17.860500000000002,-10.0,-7.1579,-2.8305000000000025,-0.18832335329341335
662,中兴通讯,2012-10-15,9.45,10.56,0.81,8.553600000000001,-10.0,-15.7895,0.8963999999999981,0.09485714285714267
752,中兴通讯,2013-03-06,10.86,14.14,0.81,11.453400000000002,10.0304,8.9368,-0.5934000000000026,-0.054640883977900796
839,中兴通讯,2013-07-23,15.06,13.84,0.80,11.072000000000001,10.0073,19.5164,3.9879999999999995,0.26480743691899067
1172,中兴通讯,2014-12-17,19.1,17.42,0.79,13.761800000000003,10.023,2.3502,5.338199999999999,0.2794869109947643
1254,中兴通讯,2015-04-29,30.76,26.4,0.79,20.855999999999998,10.0143,7.0994,9.904000000000003,0.32197659297789344
1300,中兴通讯,2015-07-08,17.96,15.9,0.79,12.561000000000002,-10.02,-3.9855,5.398999999999999,0.3006124721603563
1304,中兴通讯,2015-07-14,19.76,18.38,0.79,14.520199999999999,10.0223,15.5975,5.2398000000000025,0.265172064777328
1305,中兴通讯,2015-07-15,21.74,17.96,0.79,14.188400000000001,10.0202,-2.2851,7.551599999999997,0.3473597056117754
1313,中兴通讯,2015-07-27,19.23,18.2,0.79,14.378,-10.014,-5.6995,4.852,0.2523140925637026
1329,中兴通讯,2015-08-18,19.33,16.68,0.82,13.677599999999998,-10.0093,-4.0276,5.6524,0.2924159337816865
1336,中兴通讯,2015-08-27,15.95,16.2,0.83,13.445999999999998,10.0,17.2214,2.5040000000000013,0.15699059561128537
1703,中兴通讯,2017-03-16,16.81,14.36,0.89,12.7804,10.0131,1.1268,4.0295999999999985,0.2397144556811421
1871,中兴通讯,2017-11-27,34.36,28.2,0.84,23.688,-10.0052,-9.0323,10.672,0.310593713620489
1999,中兴通讯,2018-06-14,25.36,14.8,0.82,12.136,-10.0071,-1.0695,13.224,0.5214511041009464
2000,中兴通讯,2018-06-15,22.82,13.1,0.82,10.741999999999999,-10.0158,-11.4865,12.078000000000001,0.5292725679228747
2003,中兴通讯,2018-06-21,16.64,11.7,0.82,9.594,-10.0054,-1.0152,7.046000000000001,0.4234375000000001
2005,中兴通讯,2018-06-25,13.48,11.68,0.83,9.6944,-10.0134,-1.5177,3.7856000000000005,0.28083086053412465
2017,中兴通讯,2018-07-12,13.31,13.94,0.85,11.848999999999998,10.0,25.1346,1.461000000000002,0.10976709241172067
2019,中兴通讯,2018-07-16,15.51,16.0,0.85,13.6,10.0,16.4483,1.9100000000000001,0.12314635718891039
2037,中兴通讯,2018-08-09,14.3,13.0,0.87,11.31,10.0,9.2437,2.99,0.2090909090909091
