代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
000063.SZ,中兴通讯,1997-11-18,--,21.81,24.10,20.75,20.80,39718400,877249017,--,--,22.0867
000063.SZ,中兴通讯,1997-11-19,20.80,20.30,21.39,20.00,20.25,9018400,185616993,-0.55,-2.6442,20.5820
000063.SZ,中兴通讯,1997-11-20,20.25,20.15,22.28,20.10,22.26,11910400,255535536,2.01,9.9259,21.4548
000063.SZ,中兴通讯,1997-11-21,22.26,22.50,22.60,21.30,21.47,8551400,186783435,-0.79,-3.5490,21.8424
000063.SZ,中兴通讯,1997-11-24,21.47,21.25,22.36,21.05,21.84,5451200,119508574,0.37,1.7233,21.9234
000063.SZ,中兴通讯,1997-11-25,21.84,22.00,22.80,21.20,21.86,5125100,112597831,0.02,0.0916,21.9699
000063.SZ,中兴通讯,1997-11-26,21.86,21.92,21.95,21.11,21.20,3224000,69201770,-0.66,-3.0192,21.4646
000063.SZ,中兴通讯,1997-11-27,21.20,21.11,21.72,20.50,20.56,3954200,82961105,-0.64,-3.0189,20.9805
000063.SZ,中兴通讯,1997-11-28,20.56,20.38,21.50,20.22,21.43,2389900,49710971,0.87,4.2315,20.8004
000063.SZ,中兴通讯,1997-12-01,21.43,21.20,21.30,20.60,20.68,1617200,33810755,-0.75,-3.4998,20.9070
000063.SZ,中兴通讯,1997-12-02,20.68,20.85,21.25,20.50,20.67,1243100,25891774,-0.01,-0.0484,20.8284
000063.SZ,中兴通讯,1997-12-03,20.67,20.55,20.99,20.40,20.74,1165500,24057568,0.07,0.3387,20.6414
000063.SZ,中兴通讯,1997-12-04,20.74,20.65,21.75,20.56,21.41,2717400,57857011,0.67,3.2305,21.2913
000063.SZ,中兴通讯,1997-12-05,21.41,21.55,22.55,21.10,21.19,4306000,94164382,-0.22,-1.0276,21.8682
000063.SZ,中兴通讯,1997-12-08,21.19,21.20,21.65,21.15,21.26,1645500,35105493,0.07,0.3303,21.3342
000063.SZ,中兴通讯,1997-12-09,21.26,21.55,21.60,21.18,21.41,988200,21156319,0.15,0.7056,21.4089
000063.SZ,中兴通讯,1997-12-10,21.41,21.55,22.30,21.51,22.03,2374800,52044065,0.62,2.8958,21.9151
000063.SZ,中兴通讯,1997-12-11,22.03,21.90,22.02,21.51,21.85,1163500,25276882,-0.18,-0.8171,21.7249
000063.SZ,中兴通讯,1997-12-12,21.85,22.00,22.40,21.75,21.80,2320600,51339830,-0.05,-0.2288,22.1235
000063.SZ,中兴通讯,1997-12-15,21.80,22.11,23.40,21.80,23.19,5904400,134948496,1.39,6.3761,22.8556
000063.SZ,中兴通讯,1997-12-16,23.19,23.30,24.48,23.20,23.89,6862500,164108087,0.70,3.0185,23.9137
000063.SZ,中兴通讯,1997-12-17,23.89,23.60,23.88,22.81,22.87,5251100,121925418,-1.02,-4.2696,23.2190
000063.SZ,中兴通讯,1997-12-18,22.87,22.62,23.48,22.50,23.06,3059400,70780018,0.19,0.8308,23.1353
000063.SZ,中兴通讯,1997-12-19,23.06,23.00,24.00,22.90,23.63,3310200,77831410,0.57,2.4718,23.5126
000063.SZ,中兴通讯,1997-12-22,23.63,24.12,25.19,23.85,25.05,4780900,118389332,1.42,6.0093,24.7630
000063.SZ,中兴通讯,1997-12-23,25.05,25.18,25.99,24.60,25.61,4560900,114949685,0.56,2.2355,25.2033
000063.SZ,中兴通讯,1997-12-24,25.61,25.60,26.00,25.23,25.28,3154100,80983113,-0.33,-1.2886,25.6755
000063.SZ,中兴通讯,1997-12-25,25.28,25.21,25.70,25.00,25.29,2426500,61602096,0.01,0.0396,25.3872
000063.SZ,中兴通讯,1997-12-26,25.29,25.65,26.15,25.10,25.56,2491800,63624370,0.27,1.0676,25.5335
000063.SZ,中兴通讯,1998-01-05,25.80,26.10,28.25,25.81,27.88,4358000,118584716,2.08,8.0620,27.2108
000063.SZ,中兴通讯,1998-01-06,27.88,27.50,27.80,26.80,27.21,4227500,115102623,-0.67,-2.4032,27.2271
000063.SZ,中兴通讯,1998-01-07,27.21,27.20,29.48,26.60,28.55,3987500,111366104,1.34,4.9247,27.9288
000063.SZ,中兴通讯,1998-01-08,28.55,28.30,29.50,28.06,28.41,3633800,105017504,-0.14,-0.4904,28.9002
000063.SZ,中兴通讯,1998-01-09,28.41,28.00,28.96,27.28,28.07,2740300,76675865,-0.34,-1.1968,27.9808
000063.SZ,中兴通讯,1998-01-12,28.07,28.00,28.50,27.32,27.38,2129000,59141496,-0.69,-2.4581,27.7790
000063.SZ,中兴通讯,1998-01-13,27.38,26.90,26.90,24.64,25.54,5149800,131451397,-1.84,-6.7202,25.5255
000063.SZ,中兴通讯,1998-01-14,25.54,25.60,26.88,25.50,26.20,3008300,78576148,0.66,2.5842,26.1198
000063.SZ,中兴通讯,1998-01-15,26.20,26.50,26.68,25.50,25.90,1783000,46284086,-0.30,-1.1450,25.9585
000063.SZ,中兴通讯,1998-01-16,25.90,25.92,26.62,25.58,26.16,1430400,37468046,0.26,1.0039,26.1941
000063.SZ,中兴通讯,1998-01-19,26.16,26.01,26.98,25.80,26.32,1218200,32305060,0.16,0.6116,26.5187
000063.SZ,中兴通讯,1998-01-20,26.32,26.35,26.55,25.00,25.31,1275900,32712596,-1.01,-3.8374,25.6388
000063.SZ,中兴通讯,1998-01-21,25.31,25.37,25.76,24.11,24.35,1311100,32474485,-0.96,-3.7930,24.7689
000063.SZ,中兴通讯,1998-01-22,24.35,24.35,25.80,24.30,25.45,1291000,32499809,1.10,4.5175,25.1741
000063.SZ,中兴通讯,1998-01-23,25.45,25.50,25.70,25.10,25.46,893600,22726747,0.01,0.0393,25.4328
