代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
2009.HK,金隅集团,2009-07-29,--,10.20,10.50,9.82,9.97,751614350,7648781932,--,--,10.1765
2009.HK,金隅集团,2009-07-30,9.97,9.95,10.34,9.94,10.12,170227800,1724167197,0.15,1.5045,10.1286
2009.HK,金隅集团,2009-07-31,10.12,10.28,10.42,10.06,10.10,97222350,997390636,-0.02,-0.1976,10.2589
2009.HK,金隅集团,2009-08-03,10.10,10.00,10.42,9.97,10.20,104234050,1066168720,0.10,0.9901,10.2286
2009.HK,金隅集团,2009-08-04,10.20,10.34,10.34,10.06,10.14,58729500,599032340,-0.06,-0.5882,10.1999
2009.HK,金隅集团,2009-08-05,10.14,10.08,10.28,9.97,9.98,56635000,570787273,-0.16,-1.5779,10.0783
2009.HK,金隅集团,2009-08-06,9.98,9.93,9.95,9.46,9.53,91402000,877971405,-0.45,-4.5090,9.6056
2009.HK,金隅集团,2009-08-07,9.53,9.40,9.45,9.01,9.07,64363000,591657730,-0.46,-4.8269,9.1925
2009.HK,金隅集团,2009-08-10,9.07,9.25,9.34,9.16,9.27,28593000,264643335,0.20,2.2051,9.2555
2009.HK,金隅集团,2009-08-11,9.27,9.20,9.99,9.18,9.80,65517700,636052830,0.53,5.7174,9.7081
2009.HK,金隅集团,2009-08-12,9.80,9.66,9.67,9.37,9.38,30566361,291399130,-0.42,-4.2857,9.5333
2009.HK,金隅集团,2009-08-13,9.38,9.47,9.57,9.35,9.41,20458745,193736560,0.03,0.3198,9.4696
2009.HK,金隅集团,2009-08-14,9.41,9.45,9.45,9.17,9.29,20924400,193581350,-0.12,-1.2752,9.2515
2009.HK,金隅集团,2009-08-17,9.29,9.10,9.14,8.95,8.98,31476000,283540510,-0.31,-3.3369,9.0081
2009.HK,金隅集团,2009-08-18,8.98,8.91,8.97,8.51,8.75,33443745,291184460,-0.23,-2.5612,8.7067
2009.HK,金隅集团,2009-08-19,8.75,8.76,8.94,8.51,8.59,19995000,173920805,-0.16,-1.8286,8.6982
2009.HK,金隅集团,2009-08-20,8.59,8.70,8.93,8.67,8.86,16210000,142351740,0.27,3.1432,8.7817
2009.HK,金隅集团,2009-08-21,8.86,8.85,8.90,8.55,8.74,15327500,133511520,-0.12,-1.3544,8.7106
2009.HK,金隅集团,2009-08-24,8.74,8.87,8.90,8.60,8.72,15753114,137206490,-0.02,-0.2288,8.7098
2009.HK,金隅集团,2009-08-25,8.72,8.60,9.11,8.58,9.04,33101500,295044805,0.32,3.6697,8.9133
2009.HK,金隅集团,2009-08-26,9.04,9.10,9.16,8.78,8.84,18994000,170527252,-0.20,-2.2124,8.9780
2009.HK,金隅集团,2009-08-27,8.84,8.75,8.82,8.62,8.68,13299000,115590680,-0.16,-1.8100,8.6917
2009.HK,金隅集团,2009-08-28,8.68,8.68,8.71,8.41,8.50,16567000,140969005,-0.18,-2.0737,8.5090
2009.HK,金隅集团,2009-08-31,8.50,8.43,8.48,8.21,8.32,16737667,138450874,-0.18,-2.1176,8.2718
2009.HK,金隅集团,2009-09-01,8.32,8.39,8.39,8.15,8.28,13591200,112390993,-0.04,-0.4808,8.2694
2009.HK,金隅集团,2009-09-02,8.28,8.15,8.38,8.05,8.26,11286750,92840190,-0.02,-0.2415,8.2256
2009.HK,金隅集团,2009-09-03,8.26,8.24,8.45,8.24,8.41,11706000,98043230,0.15,1.8160,8.3755
2009.HK,金隅集团,2009-09-04,8.41,8.46,8.53,8.29,8.49,12495550,105223883,0.08,0.9512,8.4209
2009.HK,金隅集团,2009-09-07,8.49,8.54,8.64,8.51,8.63,18567000,159304900,0.14,1.6490,8.5800
2009.HK,金隅集团,2009-09-08,8.63,8.59,8.68,8.46,8.57,14117000,120916845,-0.06,-0.6952,8.5653
2009.HK,金隅集团,2009-09-09,8.57,8.56,8.57,8.42,8.49,8464500,71914120,-0.08,-0.9335,8.4960
2009.HK,金隅集团,2009-09-10,8.49,8.52,8.80,8.52,8.64,29199420,253776413,0.15,1.7668,8.6911
2009.HK,金隅集团,2009-09-11,8.64,8.69,8.75,8.46,8.55,11319342,97243928,-0.09,-1.0417,8.5910
2009.HK,金隅集团,2009-09-14,8.55,8.49,8.50,8.40,8.48,8798722,74268437,-0.07,-0.8187,8.4408
2009.HK,金隅集团,2009-09-15,8.48,8.48,8.75,8.48,8.52,10936500,94481580,0.04,0.4717,8.6391
2009.HK,金隅集团,2009-09-16,8.52,8.60,8.64,8.43,8.54,10818000,92137020,0.02,0.2347,8.5170
2009.HK,金隅集团,2009-09-17,8.54,8.60,8.73,8.56,8.60,21776261,188122703,0.06,0.7026,8.6389
2009.HK,金隅集团,2009-09-18,8.60,8.58,8.90,8.56,8.78,29545210,258103819,0.18,2.0930,8.7359
2009.HK,金隅集团,2009-09-21,8.78,8.79,8.87,8.53,8.56,15045000,130652340,-0.22,-2.5057,8.6841
2009.HK,金隅集团,2009-09-22,8.56,8.58,8.66,8.46,8.53,11848000,100829200,-0.03,-0.3505,8.5102
2009.HK,金隅集团,2009-09-23,8.53,8.53,8.53,8.40,8.46,8527420,72149318,-0.07,-0.8206,8.4609
2009.HK,金隅集团,2009-09-24,8.46,8.35,8.35,8.15,8.26,14943588,123376613,-0.20,-2.3641,8.2562
2009.HK,金隅集团,2009-09-25,8.26,8.13,8.26,8.12,8.24,9393000,76904075,-0.02,-0.2421,8.1874
2009.HK,金隅集团,2009-09-28,8.24,8.12,8.19,7.84,7.96,21049800,168502818,-0.28,-3.3981,8.0050
2009.HK,金隅集团,2009-09-29,7.96,7.99,8.08,7.82,7.88,17205120,136286023,-0.08,-1.0050,7.9212
2009.HK,金隅集团,2009-09-30,7.88,7.70,7.78,7.52,7.66,25054666,191041153,-0.22,-2.7919,7.6250
2009.HK,金隅集团,2009-10-09,7.66,7.31,8.30,8.12,8.13,8313000,68209960,0.47,6.1358,8.2052
