代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
600016.SH,民生银行,2000-12-19,--,20.00,21.00,18.50,18.56,156352456,3058872084,--,--,19.5640
600016.SH,民生银行,2000-12-20,18.56,18.47,18.47,17.91,18.10,29046713,526016570,-0.46,-2.4784,18.1093
600016.SH,民生银行,2000-12-21,18.10,18.18,18.48,18.00,18.09,11362956,206705741,-0.01,-0.0552,18.1912
600016.SH,民生银行,2000-12-22,18.09,18.10,18.17,17.60,17.66,13026488,231272602,-0.43,-2.3770,17.7540
600016.SH,民生银行,2000-12-25,17.66,17.60,17.62,17.01,17.20,10113120,174453021,-0.46,-2.6048,17.2502
600016.SH,民生银行,2000-12-26,17.20,17.20,17.50,17.18,17.32,6539033,113179158,0.12,0.6977,17.3082
600016.SH,民生银行,2000-12-27,17.32,17.35,17.38,17.05,17.11,6814034,116840535,-0.21,-1.2125,17.1470
600016.SH,民生银行,2000-12-28,17.11,17.10,17.19,17.02,17.08,6921479,118199560,-0.03,-0.1753,17.0772
600016.SH,民生银行,2000-12-29,17.08,17.10,17.38,17.05,17.22,3985226,68457753,0.14,0.8197,17.1779
600016.SH,民生银行,2001-01-02,17.22,17.25,17.55,17.10,17.39,5440019,94143228,0.17,0.9872,17.3057
600016.SH,民生银行,2001-01-03,17.39,17.45,17.47,17.22,17.30,4322353,74715213,-0.09,-0.5175,17.2858
600016.SH,民生银行,2001-01-04,17.30,17.34,17.39,17.10,17.16,5205197,89541752,-0.14,-0.8092,17.2024
600016.SH,民生银行,2001-01-05,17.16,17.13,17.15,16.78,16.92,9318594,157555679,-0.24,-1.3986,16.9077
600016.SH,民生银行,2001-01-08,16.92,16.88,16.89,16.51,16.59,6452415,107107756,-0.33,-1.9504,16.5996
600016.SH,民生银行,2001-01-09,16.59,16.58,17.08,16.51,17.03,5336477,89826846,0.44,2.6522,16.8326
