代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
601998.SH,中信银行,2007-04-27,--,9.21,12.19,8.88,11.37,834062637,8437484529,--,--,10.1161
601998.SH,中信银行,2007-04-30,11.37,10.23,10.87,10.23,10.34,356261450,3712135398,-1.03,-9.0589,10.4197
601998.SH,中信银行,2007-05-08,10.34,10.40,10.55,10.00,10.46,202265270,2077980695,0.12,1.1605,10.2735
601998.SH,中信银行,2007-05-09,10.46,10.47,11.51,10.26,11.46,301318369,3273551913,1.00,9.5602,10.8641
601998.SH,中信银行,2007-05-10,11.46,11.46,11.57,11.08,11.46,215001808,2439488494,0.00,0.0000,11.3464
601998.SH,中信银行,2007-05-11,11.46,11.30,11.95,11.10,11.72,178956825,2077424899,0.26,2.2688,11.6085
601998.SH,中信银行,2007-05-14,11.72,11.49,11.80,11.35,11.57,142516432,1654802863,-0.15,-1.2799,11.6113
601998.SH,中信银行,2007-05-15,11.57,11.57,11.66,10.81,10.90,140699905,1572252457,-0.67,-5.7908,11.1745
601998.SH,中信银行,2007-05-16,10.90,10.78,11.06,10.52,10.97,74153147,801701427,0.07,0.6422,10.8114
601998.SH,中信银行,2007-05-17,10.97,10.97,11.15,10.80,11.01,75229054,825743719,0.04,0.3646,10.9764
601998.SH,中信银行,2007-05-18,11.01,10.99,10.99,10.71,10.81,66367983,718260603,-0.20,-1.8165,10.8224
601998.SH,中信银行,2007-05-21,10.81,10.43,10.80,10.32,10.64,78781832,833555475,-0.17,-1.5726,10.5806
601998.SH,中信银行,2007-05-22,10.64,10.64,10.85,10.54,10.63,75636831,805809209,-0.01,-0.0940,10.6537
601998.SH,中信银行,2007-05-23,10.63,10.66,10.79,10.58,10.73,76224231,814570839,0.10,0.9407,10.6865
601998.SH,中信银行,2007-05-24,10.73,10.80,11.15,10.71,10.86,105478746,1150070548,0.13,1.2116,10.9033
601998.SH,中信银行,2007-05-25,10.86,10.80,10.85,10.65,10.69,67141126,718713048,-0.17,-1.5654,10.7045
601998.SH,中信银行,2007-05-28,10.69,10.69,10.86,10.61,10.81,96110934,1032906017,0.12,1.1225,10.7470
601998.SH,中信银行,2007-05-29,10.81,10.98,11.05,10.79,10.92,111975529,1221297043,0.11,1.0176,10.9068
