,Name,Date,ClosePriceA,ClosePriceH,ExchangeRate,AdjustedPrice(H),A Growth,H Growth,PriceDiff,PriceDiffRate
1,民生银行,2010-12-28,7.56,8.33,0.85,7.0805,1.2048,-1.4201,0.4794999999999998,0.0634259259259259
2,民生银行,2010-12-29,7.66,8.33,0.85,7.0805,1.3228,0.0,0.5795000000000003,0.07565274151436036
3,民生银行,2010-12-30,7.89,8.55,0.85,7.2675,3.0026,2.6411,0.6224999999999996,0.07889733840304178
4,民生银行,2010-12-31,7.91,8.72,0.85,7.412,0.2535,1.9883,0.4980000000000002,0.06295828065739573
5,民生银行,2010-01-04,7.93,8.87,0.88,7.805599999999999,0.2528,1.7202,0.12440000000000051,0.01568726355611608
6,民生银行,2010-01-05,8.07,8.85,0.88,7.787999999999999,1.7654,-0.2255,0.2820000000000009,0.03494423791821573
7,民生银行,2010-01-06,7.91,8.75,0.88,7.7,-1.9827,-1.1299,0.20999999999999996,0.026548672566371678
8,民生银行,2010-01-07,7.7,8.68,0.88,7.6384,-2.6549,-0.8,0.06160000000000032,0.008000000000000042
9,民生银行,2010-01-08,7.78,8.69,0.88,7.6472,1.039,0.1152,0.13280000000000047,0.01706940874035996
10,民生银行,2010-01-11,7.87,8.74,0.88,7.6912,1.1568,0.5754,0.17879999999999985,0.022719186785260463
11,民生银行,2010-01-12,7.91,8.68,0.88,7.6384,0.5083,-0.6865,0.2716000000000003,0.03433628318584074
12,民生银行,2010-01-13,7.56,8.37,0.88,7.3656,-4.4248,-3.5714,0.1943999999999999,0.025714285714285703
13,民生银行,2010-01-14,7.57,8.43,0.88,7.4184,0.1323,0.7168,0.15160000000000018,0.02002642007926026
14,民生银行,2010-01-15,7.57,8.34,0.88,7.3392,0.0,-1.0676,0.23080000000000034,0.030488771466314443
15,民生银行,2010-01-18,7.59,8.29,0.88,7.2951999999999995,0.2642,-0.5995,0.2948000000000004,0.03884057971014498
16,民生银行,2010-01-19,7.71,8.42,0.88,7.4096,1.581,1.5682,0.3003999999999998,0.03896238651102461
17,民生银行,2010-01-20,7.5,8.33,0.88,7.3304,-2.7237,-1.0689,0.16959999999999997,0.02261333333333333
18,民生银行,2010-01-21,7.63,8.22,0.88,7.233600000000001,1.7333,-1.3205,0.396399999999999,0.05195281782437732
19,民生银行,2010-01-22,7.78,8.16,0.88,7.1808000000000005,1.9659,-0.7299,0.5991999999999997,0.07701799485861179
20,民生银行,2010-01-25,7.63,8.11,0.88,7.136799999999999,-1.928,-0.6127,0.49320000000000075,0.06463958060288345
21,民生银行,2010-01-26,7.55,7.9,0.88,6.952,-1.0485,-2.5894,0.5979999999999999,0.07920529801324502
22,民生银行,2010-01-27,7.32,7.85,0.88,6.9079999999999995,-3.0464,-0.6329,0.4120000000000008,0.05628415300546459
23,民生银行,2010-01-28,7.25,7.88,0.88,6.9344,-0.9563,0.3822,0.3155999999999999,0.04353103448275861
24,民生银行,2010-01-29,7.23,7.75,0.88,6.82,-0.2759,-1.6497,0.41000000000000014,0.05670816044260029
25,民生银行,2010-02-01,7.11,7.7,0.88,6.776,-1.6598,-0.6452,0.3340000000000005,0.04697609001406477
26,民生银行,2010-02-02,7.12,7.87,0.88,6.9256,0.1406,2.2078,0.1943999999999999,0.02730337078651684
27,民生银行,2010-02-03,7.29,7.95,0.88,6.996,2.3876,1.0165,0.2939999999999996,0.04032921810699583
28,民生银行,2010-02-04,7.25,7.89,0.88,6.9432,-0.5487,-0.7547,0.30679999999999996,0.04231724137931034
29,民生银行,2010-02-05,7.13,7.78,0.88,6.8464,-1.6552,-1.3942,0.28359999999999985,0.039775596072931255
30,民生银行,2010-02-08,7.1,7.71,0.88,6.7848,-0.4208,-0.8997,0.3151999999999999,0.04439436619718309
31,民生银行,2010-02-09,7.18,7.69,0.88,6.767200000000001,1.1268,-0.2594,0.41279999999999895,0.05749303621169902
32,民生银行,2010-02-10,7.23,7.61,0.88,6.6968000000000005,0.6964,-1.0403,0.5331999999999999,0.07374827109266942
33,民生银行,2010-02-11,7.23,7.61,0.88,6.6968000000000005,0.0,0.0,0.5331999999999999,0.07374827109266942
34,民生银行,2010-02-12,7.28,7.64,0.88,6.723199999999999,0.6916,0.3942,0.5568000000000008,0.0764835164835166
35,民生银行,2010-02-22,7.23,7.66,0.88,6.7408,-0.6868,0.2618,0.4892000000000003,0.06766251728907334
36,民生银行,2010-02-23,7.16,7.8,0.88,6.864,-0.9682,1.8277,0.29600000000000026,0.04134078212290506
37,民生银行,2010-02-24,7.26,7.88,0.88,6.9344,1.3966,1.0256,0.32559999999999967,0.044848484848484804
38,民生银行,2010-02-25,7.36,7.98,0.88,7.0224,1.3774,1.269,0.3376000000000001,0.04586956521739132
39,民生银行,2010-02-26,7.33,8.09,0.88,7.1192,-0.4076,1.3784,0.21079999999999988,0.028758526603001346
40,民生银行,2010-03-01,7.42,8.2,0.88,7.215999999999999,1.2278,1.3597,0.20400000000000063,0.02749326145552569
41,民生银行,2010-03-02,7.44,8.27,0.88,7.2776,0.2695,0.8537,0.16240000000000077,0.021827956989247412
42,民生银行,2010-03-03,7.45,8.22,0.88,7.233600000000001,0.1344,-0.6046,0.21639999999999926,0.029046979865771712
43,民生银行,2010-03-04,7.26,8.32,0.88,7.3216,-2.5503,1.2165,-0.06160000000000032,-0.008484848484848529
44,民生银行,2010-03-05,7.25,8.01,0.88,7.0488,-0.1377,-3.726,0.20120000000000005,0.02775172413793104
45,民生银行,2010-03-08,7.31,8.04,0.88,7.0752,0.8276,0.3745,0.2347999999999999,0.03212038303693569
46,民生银行,2010-03-09,7.43,8.05,0.88,7.0840000000000005,1.6416,0.1244,0.3459999999999992,0.04656796769851941
47,民生银行,2010-03-10,7.36,7.99,0.88,7.0312,-0.9421,-0.7453,0.3288000000000002,0.044673913043478286
48,民生银行,2010-03-11,7.46,7.91,0.88,6.9608,1.3587,-1.0013,0.4992000000000001,0.06691689008042896
49,民生银行,2010-03-12,7.39,7.89,0.88,6.9432,-0.9383,-0.2528,0.44679999999999964,0.06046008119079833
50,民生银行,2010-03-15,7.25,7.8,0.88,6.864,-1.8945,-1.1407,0.3860000000000001,0.053241379310344845
51,民生银行,2010-03-16,7.33,7.88,0.88,6.9344,1.1034,1.0256,0.39559999999999995,0.05396998635743519
52,民生银行,2010-03-17,7.45,8.03,0.88,7.0664,1.6371,1.9036,0.3836000000000004,0.051489932885906094
53,民生银行,2010-03-18,7.42,7.99,0.88,7.0312,-0.4027,-0.4981,0.3887999999999998,0.052398921832884075
54,民生银行,2010-03-19,7.45,8.24,0.88,7.2512,0.4043,3.1289,0.1988000000000003,0.026684563758389304
55,民生银行,2010-03-22,7.55,8.06,0.88,7.0928,1.3423,-2.1845,0.4571999999999994,0.0605562913907284
56,民生银行,2010-03-23,7.43,7.95,0.88,6.996,-1.5894,-1.3648,0.4339999999999993,0.058411843876177566
57,民生银行,2010-03-24,7.44,7.88,0.88,6.9344,0.1346,-0.8805,0.5056000000000003,0.06795698924731186
58,民生银行,2010-03-25,7.33,7.81,0.88,6.8728,-1.4785,-0.8883,0.4572000000000003,0.06237380627557985
59,民生银行,2010-03-26,7.48,7.99,0.88,7.0312,2.0464,2.3047,0.4488000000000003,0.06000000000000004
60,民生银行,2010-03-29,7.77,7.97,0.88,7.013599999999999,3.877,-0.2503,0.7564000000000002,0.09734877734877738
61,民生银行,2010-03-30,7.8,8.05,0.88,7.0840000000000005,0.3861,1.0038,0.7159999999999993,0.09179487179487171
62,民生银行,2010-03-31,7.69,8.01,0.88,7.0488,-1.4103,-0.4969,0.6412000000000004,0.08338101430429135
63,民生银行,2010-04-01,7.75,8.2,0.88,7.215999999999999,0.7802,2.372,0.5340000000000007,0.06890322580645171
64,民生银行,2010-04-07,7.68,8.4,0.88,7.392,-1.2853,2.439,0.28799999999999937,0.03749999999999992
65,民生银行,2010-04-08,7.56,8.44,0.88,7.4272,-1.5625,0.4762,0.13279999999999959,0.01756613756613751
66,民生银行,2010-04-09,7.59,8.42,0.88,7.4096,0.3968,-0.237,0.18039999999999967,0.023768115942028944
67,民生银行,2010-04-12,7.46,8.28,0.88,7.2863999999999995,-1.7128,-1.6627,0.17360000000000042,0.02327077747989282
68,民生银行,2010-04-13,7.68,8.24,0.88,7.2512,2.9491,-0.4831,0.42879999999999985,0.05583333333333332
